Month,Retailer,StoreType,Category,Units
2018 Nov,NEXCOM,ECOMMERCE,DAYPACK,76 
2018 Nov,NEXCOM,ECOMMERCE,JACKET/VEST,9 
2018 Nov,NEXCOM,ECOMMERCE,PANT/CAPRI,141 
2018 Nov,NEXCOM,ECOMMERCE,SLEEPING BAG,4 
2018 Nov,NORDSTROMPORTAL,B&M,DAYPACK,200 
2018 Nov,NORDSTROMPORTAL,B&M,JACKET/VEST,423 
2018 Nov,NORDSTROMPORTAL,B&M,PANT/CAPRI,165 
2018 Nov,NORDSTROMPORTAL,ECOMMERCE,DAYPACK,614 
2018 Nov,NORDSTROMPORTAL,ECOMMERCE,JACKET/VEST,345 
2018 Nov,NORDSTROMPORTAL,ECOMMERCE,PANT/CAPRI,951 
2018 Nov,NORDSTROMPORTAL,ECOMMERCE,TENT,0 
2018 Nov,NORDSTROMPORTAL,OUTLET,DAYPACK,8 
2018 Nov,NORDSTROMPORTAL,OUTLET,JACKET/VEST,75 
2018 Nov,NORDSTROMPORTAL,OUTLET,PANT/CAPRI,69 
2018 Nov,NORDSTROMPORTAL,OUTLET,SLEEPING BAG,0 
2018 Nov,OLYMPIA SPORTS,B&M,DAYPACK,50 
2018 Nov,OLYMPIA SPORTS,B&M,PANT/CAPRI,396 
2018 Nov,OLYMPIA SPORTS,ECOMMERCE,DAYPACK,42 
2018 Nov,OLYMPIA SPORTS,ECOMMERCE,PANT/CAPRI,51 
2018 Nov,PACIFICSUNWEAR,B&M,DAYPACK,6 
2018 Nov,PACIFICSUNWEAR,B&M,PANT/CAPRI,0 
2018 Nov,PACIFICSUNWEAR,ECOMMERCE,DAYPACK,0 
2018 Nov,PACIFICSUNWEAR,ECOMMERCE,PANT/CAPRI,0 
2018 Nov,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,DAYPACK,36 
2018 Nov,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,PANT/CAPRI,81 
2018 Nov,REI,B&M,DAYPACK,"3,706 "
2018 Nov,REI,B&M,JACKET/VEST,24 
2018 Nov,REI,B&M,PANT/CAPRI,"12,342 "
2018 Nov,REI,B&M,SLEEPING BAG,"1,094 "
2018 Nov,REI,B&M,TENT,312 
2018 Nov,REI,ECOMMERCE,DAYPACK,"1,580 "
2018 Nov,REI,ECOMMERCE,JACKET/VEST,"1,434 "
2018 Nov,REI,ECOMMERCE,PANT/CAPRI,"11,166 "
2018 Nov,REI,ECOMMERCE,SLEEPING BAG,"1,032 "
2018 Nov,REI,ECOMMERCE,TENT,486 
2018 Nov,RUNNINGSPECIALTYGROUP,B&M,JACKET/VEST,36 
2018 Nov,RUNNINGSPECIALTYGROUP,B&M,PANT/CAPRI,375 
2018 Nov,RUNNINGSPECIALTYGROUP,ECOMMERCE,JACKET/VEST,3 
2018 Nov,RUNNINGSPECIALTYGROUP,ECOMMERCE,PANT/CAPRI,69 
2018 Nov,RUNNINGSPECIALTYGROUP,OTHER,JACKET/VEST,0 
2018 Nov,RUNNINGSPECIALTYGROUP,OTHER,PANT/CAPRI,0 
2018 Nov,SCHEELSSPORTS,B&M,DAYPACK,"1,072 "
2018 Nov,SCHEELSSPORTS,B&M,JACKET/VEST,951 
2018 Nov,SCHEELSSPORTS,B&M,PANT/CAPRI,"12,120 "
2018 Nov,SCHEELSSPORTS,B&M,SLEEPING BAG,94 
2018 Nov,SCHEELSSPORTS,B&M,TENT,20 
2018 Nov,VAILRESORTSRETAIL,B&M,DAYPACK,106 
2018 Nov,VAILRESORTSRETAIL,B&M,JACKET/VEST,114 
2018 Nov,VAILRESORTSRETAIL,B&M,PANT/CAPRI,681 
2018 Nov,VAILRESORTSRETAIL,B&M,SLEEPING BAG,12 
2018 Nov,VAILRESORTSRETAIL,B&M,TENT,6 
2018 Nov,VAILRESORTSRETAIL,OUTLET,JACKET/VEST,9 
2018 Nov,VAILRESORTSRETAIL,OUTLET,PANT/CAPRI,6 
2018 Nov,VON MAUR,B&M,DAYPACK,10 
2018 Nov,VON MAUR,B&M,JACKET/VEST,264 
2018 Nov,VON MAUR,B&M,PANT/CAPRI,"1,980 "
2018 Nov,VON MAUR,ECOMMERCE,DAYPACK,14 
2018 Nov,VON MAUR,ECOMMERCE,JACKET/VEST,138 
2018 Nov,VON MAUR,ECOMMERCE,PANT/CAPRI,363 
2018 Nov,VON MAUR,OTHER,DAYPACK,0 
2018 Nov,VON MAUR,OTHER,JACKET/VEST,21 
2018 Nov,VON MAUR,OTHER,PANT/CAPRI,57 
2018 Nov,ZAPPOS.COM,AMAZON,DAYPACK,"2,478 "
2018 Nov,ZAPPOS.COM,AMAZON,JACKET/VEST,12 
2018 Nov,ZAPPOS.COM,AMAZON,PANT/CAPRI,"1,851 "
2018 Nov,ZAPPOS.COM,ECOMMERCE,DAYPACK,762 
2018 Nov,ZAPPOS.COM,ECOMMERCE,JACKET/VEST,156 
2018 Nov,ZAPPOS.COM,ECOMMERCE,PANT/CAPRI,"3,396 "
2018 Nov,ZAPPOS.COM,ECOMMERCE,SLEEPING BAG,(2)
2018 Nov,ZAPPOS.COM,ECOMMERCE,TENT,12 
2018 Nov,ZAPPOS.COM,OTHER,DAYPACK,0 
2018 Nov,ZAPPOS.COM,OTHER,JACKET/VEST,0 
2018 Nov,ZAPPOS.COM,OTHER,PANT/CAPRI,0 
2018 Nov,ZAPPOS.COM,OUTLET,DAYPACK,262 
2018 Nov,ZAPPOS.COM,OUTLET,JACKET/VEST,"2,076 "
2018 Nov,ZAPPOS.COM,OUTLET,PANT/CAPRI,"1,653 "
2018 Nov,ZAPPOS.COM,OUTLET,SLEEPING BAG,10 
2018 Dec,AAFES,B&M,DAYPACK,0 
2018 Dec,AAFES,B&M,JACKET/VEST,225 
2018 Dec,AAFES,B&M,PANT/CAPRI,"6,306 "
2018 Dec,AAFES,ECOMMERCE,SLEEPING BAG,0 
2018 Dec,AAFES,OTHER,JACKET/VEST,0 
2018 Dec,AAFES,OTHER,PANT/CAPRI,(15)
2018 Dec,ACADEMY SPORTS,B&M,DAYPACK,"1,256 "
2018 Dec,ACADEMY SPORTS,B&M,JACKET/VEST,0 
2018 Dec,ACADEMY SPORTS,B&M,PANT/CAPRI,"7,434 "
2018 Dec,ACADEMY SPORTS,B&M,SLEEPING BAG,168 
2018 Dec,ACADEMY SPORTS,B&M,TENT,30 
2018 Dec,ACADEMY SPORTS,ECOMMERCE,DAYPACK,330 
2018 Dec,ACADEMY SPORTS,ECOMMERCE,PANT/CAPRI,408 
2018 Dec,ACADEMY SPORTS,ECOMMERCE,SLEEPING BAG,18 
2018 Dec,ACADEMY SPORTS,ECOMMERCE,TENT,2 
2018 Dec,ACADEMY SPORTS,OUTLET,DAYPACK,0 
2018 Dec,ACADEMY SPORTS,OUTLET,PANT/CAPRI,15 
2018 Dec,ACADEMY SPORTS,OUTLET,SLEEPING BAG,2 
2018 Dec,BACKCOUNTRY,AMAZON,DAYPACK,"1,282 "
2018 Dec,BACKCOUNTRY,AMAZON,PANT/CAPRI,471 
2018 Dec,BACKCOUNTRY,ECOMMERCE,DAYPACK,"2,796 "
2018 Dec,BACKCOUNTRY,ECOMMERCE,JACKET/VEST,177 
2018 Dec,BACKCOUNTRY,ECOMMERCE,PANT/CAPRI,"2,565 "
2018 Dec,BACKCOUNTRY,ECOMMERCE,SLEEPING BAG,"1,174 "
2018 Dec,BACKCOUNTRY,ECOMMERCE,TENT,360 
2018 Dec,BACKCOUNTRY,OUTLET,DAYPACK,250 
2018 Dec,BACKCOUNTRY,OUTLET,JACKET/VEST,12 
2018 Dec,BACKCOUNTRY,OUTLET,PANT/CAPRI,75 
2018 Dec,BACKCOUNTRY,OUTLET,SLEEPING BAG,48 
2018 Dec,BACKCOUNTRY,OUTLET,TENT,12 
2018 Dec,BLOOMINGDALES,B&M,JACKET/VEST,9 
2018 Dec,BLOOMINGDALES,ECOMMERCE,JACKET/VEST,63 
2018 Dec,BOBS STORES,B&M,DAYPACK,0 
2018 Dec,BOBS STORES,B&M,JACKET/VEST,0 
2018 Dec,BOBS STORES,B&M,PANT/CAPRI,3 
2018 Dec,BOBS STORES,B&M,SLEEPING BAG,0 
2018 Dec,BOBS STORES,B&M,TENT,0 
2018 Dec,BOBS STORES,ECOMMERCE,DAYPACK,0 
2018 Dec,BOBS STORES,ECOMMERCE,JACKET/VEST,0 
2018 Dec,BOBS STORES,ECOMMERCE,PANT/CAPRI,0 
2018 Dec,BOBS STORES,ECOMMERCE,SLEEPING BAG,0 
2018 Dec,BOBS STORES,ECOMMERCE,TENT,0 
2018 Dec,ChampaignSurplus,OTHER,DAYPACK,"2,242 "
2018 Dec,ChampaignSurplus,OTHER,PANT/CAPRI,315 
2018 Dec,DICKS SPORTING GOODS,B&M,DAYPACK,"20,966 "
2018 Dec,DICKS SPORTING GOODS,B&M,JACKET/VEST,"34,014 "
2018 Dec,DICKS SPORTING GOODS,B&M,PANT/CAPRI,"12,357 "
2018 Dec,DICKS SPORTING GOODS,B&M,SLEEPING BAG,"4,060 "
2018 Dec,DICKS SPORTING GOODS,B&M,TENT,618 
2018 Dec,DICKS SPORTING GOODS,ECOMMERCE,DAYPACK,"9,548 "
2018 Dec,DICKS SPORTING GOODS,ECOMMERCE,JACKET/VEST,"9,993 "
2018 Dec,DICKS SPORTING GOODS,ECOMMERCE,PANT/CAPRI,"2,607 "
2018 Dec,DICKS SPORTING GOODS,ECOMMERCE,SLEEPING BAG,628 
2018 Dec,DICKS SPORTING GOODS,ECOMMERCE,TENT,60 
2018 Dec,DICKS SPORTING GOODS,OUTLET,JACKET/VEST,93 
2018 Dec,DICKS SPORTING GOODS,OUTLET,PANT/CAPRI,93 
2018 Dec,DILLARDS,B&M,DAYPACK,"5,124 "
2018 Dec,DILLARDS,B&M,JACKET/VEST,831 
2018 Dec,DILLARDS,B&M,PANT/CAPRI,"14,127 "
2018 Dec,DILLARDS,B&M,SLEEPING BAG,0 
2018 Dec,DILLARDS,B&M,TENT,0 
2018 Dec,DILLARDS,ECOMMERCE,DAYPACK,94 
2018 Dec,DILLARDS,ECOMMERCE,JACKET/VEST,96 
2018 Dec,DILLARDS,ECOMMERCE,PANT/CAPRI,825 
2018 Dec,DILLARDS,ECOMMERCE,SLEEPING BAG,0 
2018 Dec,DILLARDS,ECOMMERCE,TENT,0 
2018 Dec,EASTERN MOUNTAIN SPORTS,B&M,DAYPACK,"1,054 "
2018 Dec,EASTERN MOUNTAIN SPORTS,B&M,JACKET/VEST,654 
2018 Dec,EASTERN MOUNTAIN SPORTS,B&M,PANT/CAPRI,"2,538 "
2018 Dec,EASTERN MOUNTAIN SPORTS,B&M,SLEEPING BAG,16 
2018 Dec,EASTERN MOUNTAIN SPORTS,B&M,TENT,10 
2018 Dec,EASTERN MOUNTAIN SPORTS,ECOMMERCE,DAYPACK,478 
2018 Dec,EASTERN MOUNTAIN SPORTS,ECOMMERCE,JACKET/VEST,195 
2018 Dec,EASTERN MOUNTAIN SPORTS,ECOMMERCE,PANT/CAPRI,195 
2018 Dec,EASTERN MOUNTAIN SPORTS,ECOMMERCE,SLEEPING BAG,6 
2018 Dec,EASTERN MOUNTAIN SPORTS,ECOMMERCE,TENT,24 
2018 Dec,FIELDANDSTREAM,B&M,DAYPACK,4 
2018 Dec,FIELDANDSTREAM,B&M,JACKET/VEST,(3)
2018 Dec,FIELDANDSTREAM,B&M,PANT/CAPRI,114 
2018 Dec,FIELDANDSTREAM,B&M,SLEEPING BAG,136 
2018 Dec,FIELDANDSTREAM,B&M,TENT,34 
2018 Dec,FIELDANDSTREAM,ECOMMERCE,DAYPACK,8 
2018 Dec,FIELDANDSTREAM,ECOMMERCE,PANT/CAPRI,18 
2018 Dec,FIELDANDSTREAM,ECOMMERCE,SLEEPING BAG,26 
2018 Dec,FIELDANDSTREAM,ECOMMERCE,TENT,2 
2018 Dec,FINISH LINE,B&M,DAYPACK,42 
2018 Dec,FINISH LINE,B&M,JACKET/VEST,3 
2018 Dec,FINISH LINE,B&M,PANT/CAPRI,0 
2018 Dec,FINISH LINE,ECOMMERCE,DAYPACK,4 
2018 Dec,"FOOT LOCKER, INC.",OTHER,DAYPACK,228 
2018 Dec,"FOOT LOCKER, INC.",OTHER,PANT/CAPRI,"3,804 "
2018 Dec,HIBBETT SPORTS,B&M,DAYPACK,768 
2018 Dec,HIBBETT SPORTS,B&M,JACKET/VEST,"2,028 "
2018 Dec,HIBBETT SPORTS,B&M,PANT/CAPRI,"1,263 "
2018 Dec,HIBBETT SPORTS,ECOMMERCE,DAYPACK,198 
2018 Dec,HIBBETT SPORTS,ECOMMERCE,JACKET/VEST,24 
2018 Dec,HIBBETT SPORTS,ECOMMERCE,PANT/CAPRI,237 
2018 Dec,JIMMYJAZZ,OTHER,DAYPACK,32 
2018 Dec,JIMMYJAZZ,OTHER,JACKET/VEST,6 
2018 Dec,MACYS,B&M,DAYPACK,"2,032 "
2018 Dec,MACYS,B&M,JACKET/VEST,54 
2018 Dec,MACYS,B&M,PANT/CAPRI,"6,801 "
2018 Dec,MACYS,ECOMMERCE,DAYPACK,"2,026 "
2018 Dec,MACYS,ECOMMERCE,PANT/CAPRI,"7,482 "
2018 Dec,MARINECORPSEXCHANGE,B&M,DAYPACK,192 
2018 Dec,MARINECORPSEXCHANGE,B&M,JACKET/VEST,6 
2018 Dec,MARINECORPSEXCHANGE,B&M,PANT/CAPRI,621 
2018 Dec,MODELLS,B&M,DAYPACK,868 
2018 Dec,MODELLS,B&M,JACKET/VEST,84 
2018 Dec,MODELLS,B&M,PANT/CAPRI,0 
2018 Dec,MODELLS,ECOMMERCE,DAYPACK,0 
2018 Dec,MOOSEJAW,B&M,DAYPACK,66 
2018 Dec,MOOSEJAW,B&M,JACKET/VEST,39 
2018 Dec,MOOSEJAW,B&M,PANT/CAPRI,165 
2018 Dec,MOOSEJAW,B&M,SLEEPING BAG,2 
2018 Dec,MOOSEJAW,B&M,TENT,2 
2018 Dec,MOOSEJAW,ECOMMERCE,DAYPACK,"1,176 "
2018 Dec,MOOSEJAW,ECOMMERCE,JACKET/VEST,471 
2018 Dec,MOOSEJAW,ECOMMERCE,PANT/CAPRI,"1,629 "
2018 Dec,MOOSEJAW,ECOMMERCE,SLEEPING BAG,188 
2018 Dec,MOOSEJAW,ECOMMERCE,TENT,66 
2018 Dec,MOOSEJAW,OUTLET,DAYPACK,362 
2018 Dec,MOOSEJAW,OUTLET,JACKET/VEST,102 
2018 Dec,MOOSEJAW,OUTLET,PANT/CAPRI,42 
2018 Dec,MOOSEJAW,OUTLET,TENT,4 
2018 Dec,NEIMAN MARCUS,B&M,JACKET/VEST,132 
2018 Dec,NEIMAN MARCUS,B&M,PANT/CAPRI,33 
2018 Dec,NEIMAN MARCUS,ECOMMERCE,JACKET/VEST,120 
2018 Dec,NEIMAN MARCUS,ECOMMERCE,PANT/CAPRI,201 
2018 Dec,NEIMAN MARCUS,OTHER,JACKET/VEST,0 
2018 Dec,NEIMAN MARCUS,OTHER,PANT/CAPRI,0 
2018 Dec,NEXCOM,B&M,DAYPACK,"1,474 "
2018 Dec,NEXCOM,B&M,JACKET/VEST,6 
2018 Dec,NEXCOM,B&M,PANT/CAPRI,"2,547 "
2018 Dec,NEXCOM,B&M,SLEEPING BAG,6 
2018 Dec,NEXCOM,B&M,TENT,0 
2018 Dec,NEXCOM,ECOMMERCE,DAYPACK,36 
2018 Dec,NEXCOM,ECOMMERCE,JACKET/VEST,0 
2018 Dec,NEXCOM,ECOMMERCE,PANT/CAPRI,162 
2018 Dec,NEXCOM,ECOMMERCE,SLEEPING BAG,4 
2018 Dec,NORDSTROMPORTAL,B&M,DAYPACK,984 
2018 Dec,NORDSTROMPORTAL,B&M,JACKET/VEST,558 
2018 Dec,NORDSTROMPORTAL,B&M,PANT/CAPRI,309 
2018 Dec,NORDSTROMPORTAL,B&M,SLEEPING BAG,0 
2018 Dec,NORDSTROMPORTAL,ECOMMERCE,DAYPACK,"1,820 "
2018 Dec,NORDSTROMPORTAL,ECOMMERCE,JACKET/VEST,561 
2018 Dec,NORDSTROMPORTAL,ECOMMERCE,PANT/CAPRI,474 
2018 Dec,NORDSTROMPORTAL,ECOMMERCE,SLEEPING BAG,0 
2018 Dec,NORDSTROMPORTAL,ECOMMERCE,TENT,2 
2018 Dec,NORDSTROMPORTAL,OUTLET,DAYPACK,6 
2018 Dec,NORDSTROMPORTAL,OUTLET,JACKET/VEST,141 
2018 Dec,NORDSTROMPORTAL,OUTLET,PANT/CAPRI,45 
2018 Dec,NORDSTROMPORTAL,OUTLET,SLEEPING BAG,0 
2018 Dec,OLYMPIA SPORTS,B&M,DAYPACK,134 
2018 Dec,OLYMPIA SPORTS,B&M,PANT/CAPRI,561 
2018 Dec,OLYMPIA SPORTS,ECOMMERCE,DAYPACK,28 
2018 Dec,OLYMPIA SPORTS,ECOMMERCE,PANT/CAPRI,48 
2018 Dec,PACIFICSUNWEAR,B&M,DAYPACK,18 
2018 Dec,PACIFICSUNWEAR,B&M,PANT/CAPRI,0 
2018 Dec,PACIFICSUNWEAR,ECOMMERCE,DAYPACK,0 
2018 Dec,PACIFICSUNWEAR,ECOMMERCE,PANT/CAPRI,0 
2018 Dec,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,DAYPACK,82 
2018 Dec,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,PANT/CAPRI,84 
2018 Dec,REI,B&M,DAYPACK,"8,154 "
2018 Dec,REI,B&M,JACKET/VEST,51 
2018 Dec,REI,B&M,PANT/CAPRI,"21,690 "
2018 Dec,REI,B&M,SLEEPING BAG,752 
2018 Dec,REI,B&M,TENT,390 
2018 Dec,REI,ECOMMERCE,DAYPACK,"2,120 "
2018 Dec,REI,ECOMMERCE,JACKET/VEST,"1,164 "
2018 Dec,REI,ECOMMERCE,PANT/CAPRI,"6,255 "
2018 Dec,REI,ECOMMERCE,SLEEPING BAG,912 
2018 Dec,REI,ECOMMERCE,TENT,278 
2018 Dec,RUNNINGSPECIALTYGROUP,B&M,JACKET/VEST,39 
2018 Dec,RUNNINGSPECIALTYGROUP,B&M,PANT/CAPRI,258 
2018 Dec,RUNNINGSPECIALTYGROUP,ECOMMERCE,JACKET/VEST,12 
2018 Dec,RUNNINGSPECIALTYGROUP,ECOMMERCE,PANT/CAPRI,72 
2018 Dec,RUNNINGSPECIALTYGROUP,OTHER,JACKET/VEST,0 
2018 Dec,RUNNINGSPECIALTYGROUP,OTHER,PANT/CAPRI,3 
2018 Dec,SCHEELSSPORTS,B&M,DAYPACK,"2,354 "
2018 Dec,SCHEELSSPORTS,B&M,JACKET/VEST,"3,012 "
2018 Dec,SCHEELSSPORTS,B&M,PANT/CAPRI,"26,955 "
2018 Dec,SCHEELSSPORTS,B&M,SLEEPING BAG,162 
2018 Dec,SCHEELSSPORTS,B&M,TENT,78 
2018 Dec,SummitHut,OTHER,DAYPACK,0 
2018 Dec,SummitHut,OTHER,PANT/CAPRI,24 
2018 Dec,SummitHut,OTHER,SLEEPING BAG,0 
2018 Dec,SummitHut,OTHER,TENT,2 
2018 Dec,VAILRESORTSRETAIL,B&M,DAYPACK,388 
2018 Dec,VAILRESORTSRETAIL,B&M,JACKET/VEST,204 
2018 Dec,VAILRESORTSRETAIL,B&M,PANT/CAPRI,"1,545 "
2018 Dec,VAILRESORTSRETAIL,B&M,SLEEPING BAG,28 
2018 Dec,VAILRESORTSRETAIL,B&M,TENT,6 
2018 Dec,VAILRESORTSRETAIL,OUTLET,JACKET/VEST,12 
2018 Dec,VAILRESORTSRETAIL,OUTLET,PANT/CAPRI,9 
2018 Dec,VON MAUR,B&M,DAYPACK,(4)
2018 Dec,VON MAUR,B&M,JACKET/VEST,123 
2018 Dec,VON MAUR,B&M,PANT/CAPRI,"2,496 "
2018 Dec,VON MAUR,ECOMMERCE,DAYPACK,2 
2018 Dec,VON MAUR,ECOMMERCE,JACKET/VEST,81 
2018 Dec,VON MAUR,ECOMMERCE,PANT/CAPRI,363 
2018 Dec,VON MAUR,OTHER,DAYPACK,0 
2018 Dec,VON MAUR,OTHER,JACKET/VEST,24 
2018 Dec,VON MAUR,OTHER,PANT/CAPRI,90 
2018 Dec,ZAPPOS.COM,AMAZON,DAYPACK,"6,538 "
2018 Dec,ZAPPOS.COM,AMAZON,JACKET/VEST,30 
2018 Dec,ZAPPOS.COM,AMAZON,PANT/CAPRI,"2,967 "
2018 Dec,ZAPPOS.COM,ECOMMERCE,DAYPACK,"1,624 "
2018 Dec,ZAPPOS.COM,ECOMMERCE,JACKET/VEST,201 
2018 Dec,ZAPPOS.COM,ECOMMERCE,PANT/CAPRI,"3,651 "
2018 Dec,ZAPPOS.COM,ECOMMERCE,SLEEPING BAG,2 
2018 Dec,ZAPPOS.COM,ECOMMERCE,TENT,10 
2018 Dec,ZAPPOS.COM,OTHER,DAYPACK,0 
2018 Dec,ZAPPOS.COM,OTHER,JACKET/VEST,0 
2018 Dec,ZAPPOS.COM,OTHER,PANT/CAPRI,0 
2018 Dec,ZAPPOS.COM,OUTLET,DAYPACK,76 
2018 Dec,ZAPPOS.COM,OUTLET,JACKET/VEST,"2,271 "
2018 Dec,ZAPPOS.COM,OUTLET,PANT/CAPRI,"1,185 "
2018 Jan,AAFES,B&M,DAYPACK,0 
2018 Jan,AAFES,B&M,JACKET/VEST,78 
2018 Jan,AAFES,B&M,PANT/CAPRI,"3,417 "
2018 Jan,AAFES,ECOMMERCE,SLEEPING BAG,0 
2018 Jan,AAFES,OTHER,JACKET/VEST,(6)
2018 Jan,AAFES,OTHER,PANT/CAPRI,(6)
2018 Jan,ACADEMY SPORTS,B&M,DAYPACK,"1,022 "
2018 Jan,ACADEMY SPORTS,B&M,JACKET/VEST,0 
2018 Jan,ACADEMY SPORTS,B&M,PANT/CAPRI,"7,227 "
2018 Jan,ACADEMY SPORTS,B&M,SLEEPING BAG,98 
2018 Jan,ACADEMY SPORTS,B&M,TENT,38 
2018 Jan,ACADEMY SPORTS,ECOMMERCE,DAYPACK,312 
2018 Jan,ACADEMY SPORTS,ECOMMERCE,PANT/CAPRI,72 
2018 Jan,ACADEMY SPORTS,ECOMMERCE,SLEEPING BAG,10 
2018 Jan,ACADEMY SPORTS,OUTLET,DAYPACK,0 
2018 Jan,ACADEMY SPORTS,OUTLET,PANT/CAPRI,27 
2018 Jan,ACADEMY SPORTS,OUTLET,SLEEPING BAG,4 
2018 Jan,BACKCOUNTRY,AMAZON,DAYPACK,374 
2018 Jan,BACKCOUNTRY,AMAZON,PANT/CAPRI,180 
2018 Jan,BACKCOUNTRY,ECOMMERCE,DAYPACK,732 
2018 Jan,BACKCOUNTRY,ECOMMERCE,JACKET/VEST,87 
2018 Jan,BACKCOUNTRY,ECOMMERCE,PANT/CAPRI,"1,482 "
2018 Jan,BACKCOUNTRY,ECOMMERCE,SLEEPING BAG,416 
2018 Jan,BACKCOUNTRY,ECOMMERCE,TENT,154 
2018 Jan,BACKCOUNTRY,OUTLET,DAYPACK,72 
2018 Jan,BACKCOUNTRY,OUTLET,JACKET/VEST,0 
2018 Jan,BACKCOUNTRY,OUTLET,PANT/CAPRI,78 
2018 Jan,BACKCOUNTRY,OUTLET,SLEEPING BAG,10 
2018 Jan,BACKCOUNTRY,OUTLET,TENT,4 
2018 Jan,BLOOMINGDALES,B&M,JACKET/VEST,0 
2018 Jan,BLOOMINGDALES,ECOMMERCE,JACKET/VEST,24 
2018 Jan,BOBS STORES,B&M,DAYPACK,0 
2018 Jan,BOBS STORES,B&M,JACKET/VEST,0 
2018 Jan,BOBS STORES,B&M,PANT/CAPRI,0 
2018 Jan,BOBS STORES,B&M,SLEEPING BAG,0 
2018 Jan,BOBS STORES,B&M,TENT,0 
2018 Jan,BOBS STORES,ECOMMERCE,DAYPACK,0 
2018 Jan,BOBS STORES,ECOMMERCE,JACKET/VEST,0 
2018 Jan,BOBS STORES,ECOMMERCE,PANT/CAPRI,0 
2018 Jan,BOBS STORES,ECOMMERCE,SLEEPING BAG,0 
2018 Jan,BOBS STORES,ECOMMERCE,TENT,0 
2018 Jan,ChampaignSurplus,OTHER,DAYPACK,672 
2018 Jan,ChampaignSurplus,OTHER,PANT/CAPRI,201 
2018 Jan,DICKS SPORTING GOODS,B&M,DAYPACK,"10,340 "
2018 Jan,DICKS SPORTING GOODS,B&M,JACKET/VEST,"2,796 "
2018 Jan,DICKS SPORTING GOODS,B&M,PANT/CAPRI,"6,741 "
2018 Jan,DICKS SPORTING GOODS,B&M,SLEEPING BAG,"1,770 "
2018 Jan,DICKS SPORTING GOODS,B&M,TENT,194 
2018 Jan,DICKS SPORTING GOODS,ECOMMERCE,DAYPACK,"4,200 "
2018 Jan,DICKS SPORTING GOODS,ECOMMERCE,JACKET/VEST,"2,025 "
2018 Jan,DICKS SPORTING GOODS,ECOMMERCE,PANT/CAPRI,738 
2018 Jan,DICKS SPORTING GOODS,ECOMMERCE,SLEEPING BAG,152 
2018 Jan,DICKS SPORTING GOODS,ECOMMERCE,TENT,16 
2018 Jan,DICKS SPORTING GOODS,OUTLET,JACKET/VEST,33 
2018 Jan,DICKS SPORTING GOODS,OUTLET,PANT/CAPRI,69 
2018 Jan,DILLARDS,B&M,DAYPACK,"2,274 "
2018 Jan,DILLARDS,B&M,JACKET/VEST,198 
2018 Jan,DILLARDS,B&M,PANT/CAPRI,"5,535 "
2018 Jan,DILLARDS,B&M,SLEEPING BAG,0 
2018 Jan,DILLARDS,B&M,TENT,24 
2018 Jan,DILLARDS,ECOMMERCE,DAYPACK,24 
2018 Jan,DILLARDS,ECOMMERCE,JACKET/VEST,45 
2018 Jan,DILLARDS,ECOMMERCE,PANT/CAPRI,456 
2018 Jan,DILLARDS,ECOMMERCE,SLEEPING BAG,0 
2018 Jan,DILLARDS,ECOMMERCE,TENT,0 
2018 Jan,EASTERN MOUNTAIN SPORTS,B&M,DAYPACK,472 
2018 Jan,EASTERN MOUNTAIN SPORTS,B&M,JACKET/VEST,240 
2018 Jan,EASTERN MOUNTAIN SPORTS,B&M,PANT/CAPRI,"1,290 "
2018 Jan,EASTERN MOUNTAIN SPORTS,B&M,SLEEPING BAG,4 
2018 Jan,EASTERN MOUNTAIN SPORTS,B&M,TENT,2 
2018 Jan,EASTERN MOUNTAIN SPORTS,ECOMMERCE,DAYPACK,162 
2018 Jan,EASTERN MOUNTAIN SPORTS,ECOMMERCE,JACKET/VEST,87 
2018 Jan,EASTERN MOUNTAIN SPORTS,ECOMMERCE,PANT/CAPRI,78 
2018 Jan,EASTERN MOUNTAIN SPORTS,ECOMMERCE,SLEEPING BAG,2 
2018 Jan,EASTERN MOUNTAIN SPORTS,ECOMMERCE,TENT,4 
2018 Jan,FIELDANDSTREAM,B&M,DAYPACK,0 
2018 Jan,FIELDANDSTREAM,B&M,JACKET/VEST,0 
2018 Jan,FIELDANDSTREAM,B&M,PANT/CAPRI,54 
2018 Jan,FIELDANDSTREAM,B&M,SLEEPING BAG,44 
2018 Jan,FIELDANDSTREAM,B&M,TENT,14 
2018 Jan,FIELDANDSTREAM,ECOMMERCE,DAYPACK,6 
2018 Jan,FIELDANDSTREAM,ECOMMERCE,PANT/CAPRI,6 
2018 Jan,FIELDANDSTREAM,ECOMMERCE,SLEEPING BAG,10 
2018 Jan,FINISH LINE,B&M,DAYPACK,26 
2018 Jan,FINISH LINE,B&M,JACKET/VEST,0 
2018 Jan,FINISH LINE,B&M,PANT/CAPRI,0 
2018 Jan,"FOOT LOCKER, INC.",OTHER,DAYPACK,78 
2018 Jan,"FOOT LOCKER, INC.",OTHER,PANT/CAPRI,681 
2018 Jan,HALFMOONOUTFITTERS,OTHER,DAYPACK,10 
2018 Jan,HALFMOONOUTFITTERS,OTHER,PANT/CAPRI,3 
